"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"2","Web Testing","0","Cadastro de Usuario","0","0","Login","0"
"0","API Testing","0","JSONPlaceholder API","3","0","Criacao de Post","0"
"2","Web Testing","0","Cadastro de Usuario","0","0","Validacao de Email","0"
"0","API Testing","0","RESTCountries API","10","0","Busca por Nome","0"
"0","Web Testing","0","Busca e Carrinho","1","0","Filtros de Busca","0"
"0","Web Testing","0","Busca e Carrinho","1","0","Busca de Produtos","0"
"0","Web Testing","0","Busca e Carrinho","1","0","Carrinho Vazio","0"
"1","Web Testing","0","Busca e Carrinho","0","0","Selecao de Produto","0"
"0","API Testing","0","JSONPlaceholder API","1","0","Performance","0"
"0","API Testing","0","JSONPlaceholder API","3","0","Leitura de Posts","0"
"1","Web Testing","1","Cadastro de Usuario","0","0","Fluxo Feliz","0"
"0","API Testing","0","JSONPlaceholder API","2","0","Atualizacao de Post","0"
"1","Web Testing","0","Busca e Carrinho","0","0","Adicao ao Carrinho","0"
"0","API Testing","0","JSONPlaceholder API","1","0","Remocao de Post","0"
"1","Web Testing","0","Busca e Carrinho","0","0","Navegacao","0"
"0","API Testing","0","RESTCountries API","1","0","Performance","0"
