"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Valida que o sistema rejeita login com credenciais incorretas","41879","TC006 - Deve exibir erro para credenciais invalidas","","Thu Nov 27 04:41:21 UTC 2025","broken","Thu Nov 27 04:42:03 UTC 2025","","Testes de Cadastro na Netshoes","com.automation.tests.web.NetshoesRegistrationTest","shouldShowErrorForInvalidCredentials"
"Valida que a API remove um post retornando status 200","247","TC009 - Deve remover post com sucesso","","Thu Nov 27 04:37:57 UTC 2025","passed","Thu Nov 27 04:37:57 UTC 2025","","Testes da API JSONPlaceholder","com.automation.tests.api.JsonPlaceholderApiTest","shouldDeletePostSuccessfully"
"Valida que a API atualiza apenas campos especificos via PATCH","169","TC008 - Deve atualizar parcialmente um post (PATCH)","","Thu Nov 27 04:37:57 UTC 2025","passed","Thu Nov 27 04:37:57 UTC 2025","","Testes da API JSONPlaceholder","com.automation.tests.api.JsonPlaceholderApiTest","shouldPartiallyUpdatePost"
"Valida que a API aceita variações de case no nome do país","327","TC005 - Deve aceitar busca case-insensitive [3] Canada","","Thu Nov 27 04:37:57 UTC 2025","passed","Thu Nov 27 04:37:58 UTC 2025","","Testes da API RESTCountries","com.automation.tests.api.RestCountriesApiTest","shouldAcceptCaseInsensitiveSearch"
"Valida criacao de post usando Test Data Builder com dados aleatorios","430","TC003 - Deve criar post com dados gerados pelo Builder","","Thu Nov 27 04:37:55 UTC 2025","passed","Thu Nov 27 04:37:56 UTC 2025","","Testes da API JSONPlaceholder","com.automation.tests.api.JsonPlaceholderApiTest","shouldCreatePostWithBuilderGeneratedData"
"Valida que a API aceita variações de case no nome do país","305","TC005 - Deve aceitar busca case-insensitive [4] CaNaDa","","Thu Nov 27 04:37:58 UTC 2025","passed","Thu Nov 27 04:37:58 UTC 2025","","Testes da API RESTCountries","com.automation.tests.api.RestCountriesApiTest","shouldAcceptCaseInsensitiveSearch"
"Valida que a operacao POST responde em tempo aceitavel","294","TC010 - Deve responder em tempo aceitavel para POST","","Thu Nov 27 04:37:57 UTC 2025","passed","Thu Nov 27 04:37:57 UTC 2025","","Testes da API JSONPlaceholder","com.automation.tests.api.JsonPlaceholderApiTest","shouldRespondWithinAcceptableTimeForPost"
"Valida que filtros de busca funcionam corretamente","46081","TC005 - Deve aplicar filtros na busca de produtos","","Thu Nov 27 04:40:43 UTC 2025","passed","Thu Nov 27 04:41:29 UTC 2025","","Testes de Busca e Carrinho na Netshoes","com.automation.tests.web.NetshoesCartTest","shouldApplySearchFilters"
"Valida que a pagina de login carrega com os formularios de login e criar conta","43804","TC001 - Deve carregar pagina de login corretamente","","Thu Nov 27 04:37:50 UTC 2025","failed","Thu Nov 27 04:38:34 UTC 2025","","Testes de Cadastro na Netshoes","com.automation.tests.web.NetshoesRegistrationTest","shouldLoadLoginPageSuccessfully"
"Valida que a API retorna lista de posts com status 200","208","TC004 - Deve listar todos os posts com sucesso","","Thu Nov 27 04:37:56 UTC 2025","passed","Thu Nov 27 04:37:56 UTC 2025","","Testes da API JSONPlaceholder","com.automation.tests.api.JsonPlaceholderApiTest","shouldListAllPostsSuccessfully"
"Valida que o sistema exige preenchimento de usuario e senha","41593","TC005 - Deve validar login com campos vazios","","Thu Nov 27 04:40:40 UTC 2025","broken","Thu Nov 27 04:41:21 UTC 2025","","Testes de Cadastro na Netshoes","com.automation.tests.web.NetshoesRegistrationTest","shouldValidateEmptyLoginFields"
"Valida que a API retorna lista quando busca retorna multiplos paises","428","TC007 - Deve retornar multiplos resultados para busca parcial","","Thu Nov 27 04:37:58 UTC 2025","passed","Thu Nov 27 04:37:59 UTC 2025","","Testes da API RESTCountries","com.automation.tests.api.RestCountriesApiTest","shouldReturnMultipleResultsForPartialSearch"
"Valida que a busca retorna resultados para o termo pesquisado","57778","TC001 - Deve buscar produto e exibir resultados","","Thu Nov 27 04:37:50 UTC 2025","passed","Thu Nov 27 04:38:48 UTC 2025","","Testes de Busca e Carrinho na Netshoes","com.automation.tests.web.NetshoesCartTest","shouldSearchProductAndDisplayResults"
"Valida que a resposta de criacao possui a estrutura JSON correta","267","TC002 - Deve validar estrutura JSON da resposta de criacao","","Thu Nov 27 04:37:55 UTC 2025","passed","Thu Nov 27 04:37:55 UTC 2025","","Testes da API JSONPlaceholder","com.automation.tests.api.JsonPlaceholderApiTest","shouldValidateJsonStructureForPostCreation"
"Valida que o sistema rejeita cadastro com email que ja esta cadastrado","41682","TC004 - Deve exibir erro ao tentar cadastrar com email ja existente","","Thu Nov 27 04:39:58 UTC 2025","broken","Thu Nov 27 04:40:40 UTC 2025","","Testes de Cadastro na Netshoes","com.automation.tests.web.NetshoesRegistrationTest","shouldShowErrorForExistingEmail"
"Valida que o usuario consegue iniciar o cadastro preenchendo email","42123","TC002 - Deve iniciar cadastro com email valido","","Thu Nov 27 04:38:34 UTC 2025","broken","Thu Nov 27 04:39:16 UTC 2025","","Testes de Cadastro na Netshoes","com.automation.tests.web.NetshoesRegistrationTest","shouldStartRegistrationWithValidEmail"
"Valida que a resposta possui a estrutura JSON correta conforme schema","1544","TC002 - Deve validar estrutura JSON da resposta para busca por nome","","Thu Nov 27 04:37:54 UTC 2025","passed","Thu Nov 27 04:37:56 UTC 2025","","Testes da API RESTCountries","com.automation.tests.api.RestCountriesApiTest","shouldValidateJsonStructureForCountrySearch"
"Valida que a API responde em tempo aceitavel","285","TC008 - Deve responder em tempo aceitavel (< 5 segundos)","","Thu Nov 27 04:37:59 UTC 2025","passed","Thu Nov 27 04:37:59 UTC 2025","","Testes da API RESTCountries","com.automation.tests.api.RestCountriesApiTest","shouldRespondWithinAcceptableTime"
"Valida campos adicionais como capital, region, subregion para Canada","455","TC004 - Deve retornar campos adicionais corretamente para Canada","","Thu Nov 27 04:37:56 UTC 2025","passed","Thu Nov 27 04:37:57 UTC 2025","","Testes da API RESTCountries","com.automation.tests.api.RestCountriesApiTest","shouldValidateAdditionalFieldsForCanada"
"Valida que o sistema exibe mensagem apropriada para carrinho vazio","24534","TC004 - Deve exibir mensagem de carrinho vazio quando nao ha itens","","Thu Nov 27 04:40:18 UTC 2025","passed","Thu Nov 27 04:40:43 UTC 2025","","Testes de Busca e Carrinho na Netshoes","com.automation.tests.web.NetshoesCartTest","shouldDisplayEmptyCartMessage"
"Valida que a API aceita variações de case no nome do país","330","TC005 - Deve aceitar busca case-insensitive [1] canada","","Thu Nov 27 04:37:57 UTC 2025","passed","Thu Nov 27 04:37:57 UTC 2025","","Testes da API RESTCountries","com.automation.tests.api.RestCountriesApiTest","shouldAcceptCaseInsensitiveSearch"
"Valida que a API retorna 404 quando busca post que nao existe","69","TC006 - Deve retornar 404 para post inexistente","","Thu Nov 27 04:37:56 UTC 2025","passed","Thu Nov 27 04:37:56 UTC 2025","","Testes da API JSONPlaceholder","com.automation.tests.api.JsonPlaceholderApiTest","shouldReturn404ForNonExistentPost"
"Valida que a API retorna status 200 quando busca por um pais existente","2717","TC001 - Deve retornar status 200 ao buscar pais por nome valido (Canada)","","Thu Nov 27 04:37:51 UTC 2025","passed","Thu Nov 27 04:37:54 UTC 2025","","Testes da API RESTCountries","com.automation.tests.api.RestCountriesApiTest","shouldReturn200WhenSearchingValidCountryName"
"Valida que a API retorna um post especifico pelo ID","200","TC005 - Deve obter post especifico por ID","","Thu Nov 27 04:37:56 UTC 2025","passed","Thu Nov 27 04:37:56 UTC 2025","","Testes da API JSONPlaceholder","com.automation.tests.api.JsonPlaceholderApiTest","shouldGetSpecificPostById"
"Valida que a API atualiza todos os campos do post via PUT","349","TC007 - Deve atualizar post completamente (PUT)","","Thu Nov 27 04:37:56 UTC 2025","passed","Thu Nov 27 04:37:57 UTC 2025","","Testes da API JSONPlaceholder","com.automation.tests.api.JsonPlaceholderApiTest","shouldUpdatePostCompletely"
"Valida que a API cria um novo post e retorna status 201 com id gerado","4046","TC001 - Deve criar novo post com status 201 e retornar id gerado","","Thu Nov 27 04:37:51 UTC 2025","passed","Thu Nov 27 04:37:55 UTC 2025","","Testes da API JSONPlaceholder","com.automation.tests.api.JsonPlaceholderApiTest","shouldCreateNewPostAndReturnGeneratedId"
"Valida que o campo name.common da resposta contem exatamente 'Canada'","411","TC003 - Deve validar campo name.common retorna 'Canada'","","Thu Nov 27 04:37:56 UTC 2025","passed","Thu Nov 27 04:37:56 UTC 2025","","Testes da API RESTCountries","com.automation.tests.api.RestCountriesApiTest","shouldValidateCommonNameFieldForCanada"
"Valida que a API aceita variações de case no nome do país","329","TC005 - Deve aceitar busca case-insensitive [2] CANADA","","Thu Nov 27 04:37:57 UTC 2025","passed","Thu Nov 27 04:37:57 UTC 2025","","Testes da API RESTCountries","com.automation.tests.api.RestCountriesApiTest","shouldAcceptCaseInsensitiveSearch"
"Valida o fluxo completo de buscar produto, selecionar e adicionar ao carrinho","44977","TC003 - Deve buscar produto e adicionar ao carrinho com sucesso","","Thu Nov 27 04:39:33 UTC 2025","broken","Thu Nov 27 04:40:18 UTC 2025","","Testes de Busca e Carrinho na Netshoes","com.automation.tests.web.NetshoesCartTest","shouldSearchProductAndAddToCart"
"Valida que o sistema rejeita email com formato invalido","41644","TC003 - Deve validar formato de email invalido","","Thu Nov 27 04:39:16 UTC 2025","broken","Thu Nov 27 04:39:58 UTC 2025","","Testes de Cadastro na Netshoes","com.automation.tests.web.NetshoesRegistrationTest","shouldShowErrorForInvalidEmailFormat"
"Valida que a API retorna 404 quando busca por um pais que nao existe","268","TC006 - Deve retornar 404 para pais inexistente","","Thu Nov 27 04:37:58 UTC 2025","passed","Thu Nov 27 04:37:58 UTC 2025","","Testes da API RESTCountries","com.automation.tests.api.RestCountriesApiTest","shouldReturn404ForNonExistentCountry"
"Valida que ao clicar em um produto, a pagina de detalhes e exibida","45307","TC002 - Deve selecionar produto e exibir detalhes","","Thu Nov 27 04:38:48 UTC 2025","broken","Thu Nov 27 04:39:33 UTC 2025","","Testes de Busca e Carrinho na Netshoes","com.automation.tests.web.NetshoesCartTest","shouldSelectProductAndDisplayDetails"
"Valida que o usuario pode continuar navegando apos adicionar produto","37156","TC006 - Deve permitir continuar comprando apos adicionar ao carrinho","","Thu Nov 27 04:41:29 UTC 2025","broken","Thu Nov 27 04:42:06 UTC 2025","","Testes de Busca e Carrinho na Netshoes","com.automation.tests.web.NetshoesCartTest","shouldAllowContinueShoppingAfterAddToCart"
